bot (4, 11) is moving: {'action': 'walk', 'direction': 'r'}
bot (5, 11) is moving: {'action': 'walk', 'direction': 'u'}
bot (5, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (6, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (7, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (8, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (9, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (10, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (11, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (12, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (14, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (15, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (16, 10) is moving: {'action': 'walk', 'direction': 'l'}
bot (9, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (15, 10) is moving: {'action': 'walk', 'direction': 'l'}
bot (10, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (14, 10) is moving: {'action': 'walk', 'direction': 'l'}
bot (11, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
bot (12, 10) is moving: {'action': 'attack', 'weapon': 'mshstu001', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'attack', 'weapon': 'knxboy001', 'direction': 'l'}
